id,date,time,timezone,user_id,username,tweet,replies,retweets,likes,location,hashtags,link
547695692,2007-12-30,23:42:19,UTC,7735722,wmnf,Zulu(Jamaica) -- Hurricane Dean -- Reggae Hits 37,0,0,0,,[],https://twitter.com/wmnf/status/547695692/
272714402,2007-09-16,18:06:49,UTC,1478471,sciencenewsblog,New post: Hurricane Dean From Space: The astronauts abord the International Space Statio..  http://tinyurl.com/2n4pgg,0,0,0,,[],https://twitter.com/sciencenewsblog/status/272714402/
272714332,2007-09-16,18:06:46,UTC,1478471,sciencenewsblog,New post: Powerful Hurricane Dean Threatens Jamaica: Jamaica is facing a serious threat ..  http://tinyurl.com/2vt4j9,0,0,0,,[],https://twitter.com/sciencenewsblog/status/272714332/
248479202,2007-09-05,10:31:06,UTC,7086822,EurActivVideo,NEWS: ROUNDUP: Munich Re counts the costs of Hurricane Dean: ROUNDUP: Munich Re counts the costs of Hu..  http://tinyurl.com/259s6s,0,0,0,,[],https://twitter.com/EurActivVideo/status/248479202/
248389322,2007-09-05,09:31:04,UTC,7086822,EurActivVideo,NEWS: Insurer counts costs of Hurricane Dean: Insurer counts costs of Hurricane Dean  http://tinyurl.com/25fmyy,0,0,0,,[],https://twitter.com/EurActivVideo/status/248389322/
248375152,2007-09-05,09:19:26,UTC,621523,BBCBusiness,"The cost to insurers of damage claims from Hurricane Dean will rise into the billions, a leading reinsurer ..  http://tinyurl.com/2hexve",0,0,0,,[],https://twitter.com/BBCBusiness/status/248375152/
248360072,2007-09-05,09:09:49,UTC,742143,BBCWorld,"The cost to insurers of damage claims from Hurricane Dean will rise into the billions, a leading reinsurer has..  http://tinyurl.com/244emx",0,0,0,,[],https://twitter.com/BBCWorld/status/248360072/
246760352,2007-09-04,16:13:02,UTC,7159522,OceanDoctor,We found about 20% of the sea turtle nests in Cuba's westernmost point were destroyed by high water from Hurricane Dean. We're now in Havana,0,0,0,,[],https://twitter.com/OceanDoctor/status/246760352/
243570722,2007-09-02,04:04:56,UTC,773841,EdRoberts,Hurricane Felix now STRONGER than Hurricane Dean with 165mph winds. Headed straight toward the same areas effected by Dean. Yikes!,0,0,0,,[],https://twitter.com/EdRoberts/status/243570722/
242703182,2007-09-02,15:39:38,UTC,2933131,Mosesofmason,Hurricane Dean Crossing the Yucatan:  http://tinyurl.com/29e7ca,0,0,0,,[],https://twitter.com/Mosesofmason/status/242703182/
