,Title,Views,Channel,Comment Count,Likes,Dislikes,Tags,Favourite Count,Video ID
169,Hurricane Dolly Videos 2 - after the hurricane,645,Debbi Culp Hook,0,2,0,"['Hurricane', 'Dolly', 'Damage', 'Laguna', 'Vista', 'Madre', 'TX', 'Hook', 'proshow']",0,aYj28TnHzvA
170,Hurricane Dolly Vid 1,642,shermy451,1,1,0,"['Hurricane', 'Dolly', 'South', 'Padre', 'Island', 'Texas']",0,-cLAjCtpo7k
171,The Weather Channel : Hurricane Dolly (Part 1),640,weatherexpert2,0,3,0,"['The', 'Weather', 'Channel', 'Hurricane', 'Dolly']",0,cNMuCg8TK0Q
172,Hurricane Dolly 2008: South Texas landfall,634,Brian McNoldy,0,1,0,"['hurricane', 'typhoon', 'radar', 'tropical cyclone', 'dolly']",0,gakEUqmj57g
173,Hurricane Dolly is almost here,612,MePandaBlair,7,8,3,"['Hurricane', 'Dolly']",0,rUF38YIgoYw
174,Hurricane Dolly,611,Alex M,0,1,0,"['Dolly', 'Rancho', 'Viejo', 'Hurricane']",0,Zy--1sRP3TM
175,"Day After Hurricane Dolly - Harlingen, TX",591,TrueBlueCowboyCrew,0,1,1,"['Hurricane', 'Dolly', 'Harlingen', 'Weather']",0,iwTu9Fo6qF8
176,Hurricane Dolly 3,589,lznewkirk,0,1,0,"['Hurricane', 'Dolly', 'Corpus', 'Christi']",0,TqaYG-8GKjk
177,Hurricane Dolly & Our Trampoline,585,justnancy28,0,0,0,"['hurricane', 'dolly', 'flooding']",0,HLJwJKFpyyg
179,Hurricane Dolly,582,cesar rodríguez,0,1,0,"['Dolly', 'Hurricane', 'matamoros', 'mexico', 'sauces']",0,B2sk94xXo-E
178,Hurricane Dolly - Approximately 6:30 AM in Raymondville Tx,581,Joe Vitela,1,1,2,"['Hurricane', 'Dolly']",0,6WGeRCBxvpY
180,"Hurricane Dolly, in Brownsville",579,Carwen Soirreb,0,3,0,['Hurricane'],0,4-iC4V4EdoA
181,Hurricane Dolly Hits Texas 2,576,American Red Cross,0,1,1,"['hurricane', 'dolly', 'texas', 'corpus', 'christi']",0,6_-MexLp39Y
182,Vid #02 Hurricane Dolly SHOCKING!,575,ginn3dolphins,0,0,0,"['brownsville', 'hurricane', 'flooding', 'dolly', 'katrina', 'tornado', 'rain', 'damage', 'footage', 'adrian', 'peterson', 'scary', 'enterprise', 'tribute', '296', 'red', 'sox', 'cool', 'ginn', 'ted', 'david', 'beckham', 'lonelygirl15', 'astros', 'rock', 'hi', 'how', 'are', 'you', 'am', 'fine', 'that', 'is', 'very', 'nice', 'because', 'lonely']",0,BQt3p6zTNWo
183,"Cancun, Mexico - Hurricane Dolly wind and rain - 7/21/08",567,MarcusCygy511,0,0,0,"['Hurricane', 'Dolly', 'Tropical', 'storm', 'Cancun', 'Mexico', 'Oasis', 'hotel', 'damage', 'floods', 'resort', 'heavy', 'speed', 'wind', 'rain', 'water', 'Marcus', 'Cygy']",0,l4rc69zOXFk
184,"RAW VIDEO: Hurricane Dolly slams Weslaco, Texas",566,Michael Gonzalez,1,0,0,"['Hurricane', 'Dolly', 'Coverage', 'Weslaco']",0,w4scEaW53iU
185,Hurricane Dolly,564,lagordayelflaco03,1,4,0,"['hurricane', 'dolly']",0,e08rUOVH8dE
186,Hurricane Dolly San Juan #4 40 minutes Later,562,TheBS0D,1,3,0,"['Hurricane', 'Dolly', 'Wind', 'Rain', 'Run', 'for', 'your', 'life.']",0,IQYoXlIbFPw
187,"hurricane dolly hits south padre island,tx",558,Life As A Freak,1,0,0,"['infect', 'the', 'peace']",0,RZc_6ES5Q7c
188,Whitecap Beach Report Post T.S Dolly 9/03/14,557,corpusfishing,0,0,0,['mobile'],0,7mxbKmjXf3A
189,Hurricane Dolly,544,Riven5384,0,3,0,"['Dolly', 'RGV', 'Hurricane']",0,QpV-n4FJk5o
190,Hurricane Dolly Homemade Forecast,542,valleycheerleader5,0,0,0,"['hurricane', 'dolly']",0,sh_DaCqVWWU
191,Day After Hurricane Dolly #7 7-24-08 - Harlingen TX  Roldog,538,SofaKingTarded,0,1,0,"['Hurricane', 'Dolly', 'Harlingen', 'Texas', 'TX', 'July', '24', '2008', 'Roldog', 'Sofa', 'King', 'Tarded', 'SofaKingTarded']",0,mrLcvpU02rM
192,Hurricane Dolly in Matamoros Vid 1,534,rebelsodeville,0,0,0,"['Hurricane', 'Dolly', 'Matamoros']",0,avjyCuQjkWM
193,CNN - Taped reporter standup Hurricane Dolly,533,Bill Seitzler,0,0,0,"['CNN', 'Taped', 'reporter', 'standup', 'Hurricane', 'Dolly']",0,FfUcYSLdeIc
194,Hurricane Dolly - South Texas 2008,531,28storms.com,4,4,0,"['hurricane', 'dolly', '2008', 'texas', 'rio hondo', 'harlingen', 'brownsville', 'los fresnos', 'raymondville', 'san benito']",0,h0bfc94qhIM
195,The Weather Channel : Hurricane Dolly (Part 5),518,weatherexpert2,0,1,0,"['The', 'Weather', 'Channel', 'Hurricane', 'Dolly']",0,YjulanHQo10
196,The Weather Channel : Hurricane Dolly (Part 2),511,weatherexpert2,0,0,0,"['The', 'Weather', 'Channel', 'Hurricane', 'Dolly']",0,EMWbQXqwa5Y
197,"Hurricane Dolly Weslaco, Texas. Backyard Video.",509,Rolando Renteria,3,1,0,"['Hurricane', 'Dolly', 'Weslaco', 'Texas', 'Backyard', 'Video']",0,mpMZWqWwCzY
198,Instinct: Hurricane Dolly,507,Sprint,1,2,0,"['Instinct', 'Sprint', 'Samsung', 'Sellout', 'contest']",0,krCRU5Xr44E
199,Fox Rio 2 News Reporter while Hurricane Dolly at Radisson Hotel South Padre Island TX 2008,504,Alexey Mikheev,0,1,0,"['south Texas', 'Texas', 'USA', 'United States of America', 'south padre island', 'Radisson', 'environment', 'disaster', 'isla grand beach resort', 'destruction', 'hurricane', 'dolly', 'hotel lobby', 'lobby', 'hotel', 'shocking', 'terrible', 'brutal', 'Russian students', 'wind', 'national', 'rain', 'exclusive video', 'storm', 'dangerous', 'amazing', 'horrible', 'scary', 'wild', 'damage', 'nature', 'geography', 'interview', 'reporter', 'news', 'fox', 'fox news', 'Brownsville News', 'palms', 'pool', 'cameraman', 'microphone']",0,ruPfsN0NpoI
200,Hurricane Dolly Hits Mission,502,sftbllplyr,0,2,0,"['Hurricane', 'Dolly', 'hits', 'mission', 'winds', 'rain', 'Catagory', 'high', '70', 'mph']",0,XEixXBO4tco
201,hurricane dolly,500,jjman987,0,4,0,['weather'],0,mQJKttJOC8U
202,Hurricane Dolly 3,500,scrpbkdva,0,1,0,"['Hurricane', 'Dolly', 'reports', 'funny', 'rain']",0,GJrfRmIGR3Y
203,HURRICANE DOLLY TEARS APART ROOF,476,248492,0,2,1,"['hurricane', 'dolly', 'roof']",0,AnGWeYGz51U
204,Hurricane Dolly,473,Alejandro Verde,2,1,0,"['Hurricane', 'Dolly', 'in', 'Donna', 'Texas', 'Mcallen', 'Brownsville', 'Welaco', 'Flood', 'Rain', 'Storm', 'Strong', 'Winds']",0,DG-QlqqPlvM
205,"KGBT 4 Archives - Hidalgo County After Hurricane Dolly (July 24, 2008)",472,CBS 4 News Rio Grande Valley,0,0,0,"['ALAMO', 'HIDALGO', 'COUNTY', 'HURRICANE', 'DOLLY', 'ACTION', 'NEWS', 'KGBT', 'TEXAS', 'FLOODING']",0,fu8g11qxiFw
206,Hurricane Dolly in Edinburg,471,derekonUtube,2,2,1,"['Hurricane', 'Dolly', 'Edinburg']",0,vc6t0bdWvc8
207,"Hurricane Dolly- McAllen, Texas",465,huggablepiece,0,1,1,"['hurricane', 'dolly', 'weather', 'storms', 'texas']",0,4XGBgcP7RI8
208,"Hurricane Dolly - Brownsville, TX - 07/23/08",456,supervern7,0,1,0,"['Hurricane', 'Dolly']",0,g1Qfa-hO6Sc
209,Hurricane Dolly,455,Patrick Tinsdale,0,1,1,"['Hurricane', 'Rio', 'Hondo', 'Texas']",0,JdbDpHomCAE
210,Hurricane Dolly flooding on Laguna Shores Rd Corpus Christi,454,Dirtywaterangler,0,0,0,"['Hurricane', 'Dolly', 'flooding', 'on', 'Laguna', 'Shores', 'Rd', 'Corpus', 'Christi']",0,-Ra8lhmOoNk
211,KETK Hurricane Dolly Promo,449,Zach Glenn,0,1,0,"['ketk', 'kveo', 'zach', 'glenn', 'hurricane', 'dolly']",0,kaC5lTuynkM
212,Hurricane Dolly middle of Esperanza St. during highest winds,445,bubbagucci,0,1,0,"['South', 'Padre', 'Island', 'Hurricane', 'Dolly', 'high', 'winds', 'palm', 'trees']",0,blMwSznRcas
213,Hurricane Dolly,441,MafiosoTees,1,2,0,"['Hurrican', 'Dolly']",0,fwVdLrl2zBg
214,"Hurricane Dolly - Thick rain, wind, fog - Cancun, Mexico",439,MarcusCygy511,0,0,0,"['Cancun', 'Mexico', 'Oasis', 'Hotel', 'Resort', 'Hurricane', 'Dolly', 'Tropical', 'Storm', 'thick', 'heavy', 'rain', 'wind', 'fog', 'damage', 'flooding', 'water', 'Marcus', 'Cygy']",0,9r63j70NJb8
215,The Weather Channel : Hurricane Dolly (Part 4),437,weatherexpert2,0,0,0,"['The', 'Weather', 'Channel', 'Hurricane', 'Dolly']",0,wWT4Dd60JnA
216,Hurricane Dolly,431,Justin Ortega,1,1,0,"['hurricane', 'dolly', 'rio', 'grande', 'valley', 'harlingen', 'mcallen', 'edinburg']",0,Ebi91_a9TNc
217,Hurricane Dolly in South Texas,431,kgarcia2323,0,1,1,"['Hurricane', 'Dolly', 'Weslaco', 'texas']",0,I-ImfxfskLc
218,Day After Hurricane Dolly #6 7-24-08 - Harlingen TX  Roldog,428,SofaKingTarded,0,0,0,"['Hurricane', 'Dolly', 'Harlingen', 'Texas', 'TX', 'July', '24', '2008', 'Roldog', 'Sofa', 'King', 'Tarded', 'SofaKingTarded']",0,DbJ2h80ca0s
219,Hurricane Dolly SPI,423,Jesus Montemayor,0,2,1,"['hurricane', 'dolly', 'spi', 'padre', 'island', 'beach', 'vacation', 'storm', 'summer']",0,R_nzfzDk6Yk
220,Damage from Hurricane Dolly,422,Jon Kingston,0,1,0,"['Hurricane', 'Dolly', 'Mission', 'Texas']",0,pCTDIC5-96c
221,"Other guys new power ""hurricane dolly""",421,mike021186,0,2,0,"['bottleman', 'bottle', 'man', 'funny', 'super', 'hero', 'hurricane', 'dolly', 'michael', 'ledesma']",0,t1PH-P68D08
222,"Hurricane Dolly near Brownsville, Texas",414,Alex M,0,3,0,"['Dolly', 'Rancho', 'Viejo']",0,ppOILxKN1SQ
223,"Hurricane Dolly- McAllen, Texas",409,huggablepiece,0,0,0,"['hurricane', 'dolly', 'weather', 'storms', 'texas']",0,r4fBTaqZZ20
224,homemade video of hurricane dolly,408,gracieg7813,0,1,0,"['hurricane', 'dolly']",0,Njaa89uwSmQ
225,"KGBT 4 Archives - South Padre Island Prepares For Hurricane Dolly (July 22, 2008)",401,CBS 4 News Rio Grande Valley,0,1,0,"['Hurricane', 'Dolly', 'KGBT', 'South', 'Padre', 'Island', 'Janine', 'Reyes', 'Storm', 'Beach', 'Cameron', 'County']",0,xNeL8jf_MAc
226,Hurricane Dolly,398,Hugo Gaby,0,2,0,"['Dolly', 'Hurricane']",0,PNNOkS2VfA8
228,"Hurricane Dolly Harlingen,TX (Part 2)",388,petesstang302,0,5,0,"['hurricane', 'dolly', 'storm', 'weather', 'winds', 'harlingen', 'texas']",0,DTyDo6oQWH8
227,Hurricane Dolly in Texas,386,hec0704,2,3,1,"['hurricane', 'dolly', 'san', 'benito.']",0,RXr7doxISfo
229,"RAW VIDEO: Hurricane Dolly slams Weslaco, Texas",382,Michael Gonzalez,0,0,0,"['Hurricane', 'Dolly', 'Coverage', 'Weslaco']",0,oGpOjoyuLBI
231,Welcome Hurricane Dolly,382,lagordayelflaco03,0,1,0,"['hurricane', 'dolly']",0,b6fswwrQOYQ
230,"HURRICANE DOLLY - BROWNSVILLE, TEXAS 4",381,camillamontoya,0,1,1,"['hurricane', 'dolly', 'storm', 'brownsville', 'texas']",0,EIiuzuYwJCc
