,Title,Views,Channel,Comment Count,Likes,Dislikes,Tags,Favourite Count,Video ID
254,Drone Footage of Hurricane Matthew Aftermath,14304,Nelson Aerial Productions,26,49,1,"['goldsboro', 'fayetteville', 'lumberton', 'north carolina', 'flooding', 'hurricane matthew', 'neuse river', 'lumber river', 'drone', 'aerial videography', 'dji', 'inspire 1 pro']",0,o9j7qDYimFw
255,Hurricane Matthew Conspiracy  Is Hurricane Matthew Illuminati Made? Bible Predicted Times Like These,14269,THAT IS IMPOSSIBLE,39,58,16,"['conspiracy', 'impossible', 'hurricane', 'matthew', 'hurricane matthew', 'matthew 5', 'bible', 'hurricane matthew update', 'hurricane matthew haarp', 'haarp hurricane', 'illuminati', 'haarp', 'haarp made', 'weather', 'weather anomaly', 'weather anomalies', 'anomaly', 'news', 'storm', 'nwo', 'forecast', 'chemtrails', 'jamaica', 'earth', 'new world order', 'geoengineering', 'cuba', 'obama', 'nasa', 'florida', 'nibiru', 'radar', 'alex jones', 'weather modification', 'military', 'end of times', 'footage', 'illuminati hurricane', 'illuminati weather', 'hurricane matthew conspiracy']",0,Y6QXbi2GyrY
256,Hurricane Matthew Video | Wreaks Havoc in Caribbean,13938,ABC News,5,37,4,"['Hurricane', 'Matthew', 'storm', 'floods', 'rain', 'mudslides', 'wind', 'emergency', 'shelters', 'Haiti', 'Cuba', 'Caribbean']",0,I4Ja8-OT-Pw
257,Southwest Airlines Full Flight MCO-BWI: ESCAPE FROM HURRICANE MATTHEW,13896,Southwest 737,50,75,2,"['Southwest Airlines', 'Airplane', 'Flying', 'Hurricane', 'Weather', 'Hurricane Matthew', 'Orlando', 'Baltimore', 'Florida', 'Maryland', 'Maryland One', 'Spotting']",0,Hy_U6Dp5SMI
258,Hurricane Matthew Seen From The International Space Station / With NOAA Goes Satellite footage,13684,Space Videos,27,253,7,"['hurricane matthew', 'hurricane', 'matthew', 'goes', 'noaa', 'satellite', 'nasa', 'Space Videos', 'International Space Station', 'Caribbean Sea', 'Storm', 'Jamaica', 'Hispaniola', 'Disaster Type', 'goes satellite footage', 'NOAA GOES East', 'Caribbean', 'shows Matthew', 'Tropical Cyclone', 'major hurricane', 'Satellite footage', 'Cuba', 'Puerto Rico', 'Atlantic Ocean', 'Category', 'ISS', 'GOES 13', 'GOES-East', 'status']",0,4kbAtaqvfBw
259,"Charleston, SC Hurricane Matthew Destruction and Storm Surge - 10/8/2016",13670,StormChasingVideo,22,116,2,"['Hurricane Matthew', 'South Carolinal']",0,7SFU_JV5pJY
260,Hurricane Matthew Aerial Footage,13456,Outer Banks Drone,1,25,1,"['Outer Banks', 'OBX', 'Hurricane', 'Hurricane Matthew', 'Nags Head', 'Kill Devil Hills', 'DJI', 'Drone', 'Aerial']",0,qH5J_9pGikU
261,Hurricane Matthew Cherry Grove North Myrtle Beach,13087,Bryan Farrar,12,20,1,['__UNKNOWN__'],0,giBJh2z7dVg
262,"Hurricane Matthew 10-08-2016 at 11:45 AM in Murrells Inlet, SC",13053,Roger Grant,3,29,6,['__UNKNOWN__'],0,RdKHw_6af7A
263,"Hurricane Matthew Update: Deadly storm slams Haiti, heads towards Cuba",12737,Al Jazeera English,5,26,1,"['5155387870001', 'Cuba', 'latin america', 'package', 'News', 'Al Jazeera English', 'kingston', 'caribbean', 'Haiti', 'al Jazeera', 'Bahamas', 'environment', 'jazeera', 'youtube', 'Andy Gallacher', 'JAMAICA', 'aljazeera', 'hurricane matthew']",0,eVpAJT1k9GQ
