,Title,Views,Channel,Comment Count,Likes,Dislikes,Tags,Favourite Count,Video ID
138,Hurricane Rita Evacuation,1376,Saidas Ranade,2,6,0,"['Sai', 'Ranade', 'Hurricane', 'Rita', 'Evacuation', 'Patels', 'Chinese', 'Buffett']",0,dCpTCOPzx_g
139,Texas Game Wardens Respond to Hurricanes Katrina and Rita - Texas Parks and Wildlife [Official],1362,Texas Parks and Wildlife,1,12,1,"['texas game wardens', 'Game Warden', 'Texas Parks And Wildlife Department (Government Agency)', 'Hurricane Katrina (Tropical Cyclone)', 'Hurricane Ike (Tropical Cyclone)', 'Hurricane Rita (Tropical Cyclone)', 'Certified First Responder (Profession)']",0,eOJJvctrMHU
140,72 Hours Fiji Audition - Hurricane Rita,1343,Aurita Maldonado,8,19,1,"['Hurricane Rita', 'audition', 'adventure', 'survival', 'race', 'Haines', 'Alaska', 'TNT', '72 hours fiji', 'tomorrowsnotguarnteed']",0,0Nb3ftxP-c8
141,Hurricane Rita 10th Anniversary,1324,Billy Gibson,0,2,0,"['Jeff Davis Electric Cooperative', 'Louisiana electric cooperatives', 'Hurricane Rita', 'Cameron Parish']",0,xgZK_k_weJo
142,"AccuWeather Live, On-Scene with Hurricane Rita (34 min)",1305,AccuWeather,1,7,5,"['AccuWeather (Business Operation)', 'Tropical Cyclone (Disaster Type)', 'Hurricane Rita (Tropical Cyclone)']",0,3w2XecRPOtI
143,Remembering Rita: 10 Years Later,1285,NWSLakeCharles,0,10,0,"['Weather', 'Hurricane Rita (Tropical Cyclone)']",0,vr1QYHksR4s
144,Hurricane Rita Video - Texas - 9/24/2005 Port Arthur Texas - Part 12,1261,StormChasingVideo,0,4,0,"['Hurricane Rita', 'Port Arthur', 'TX', 'Texas', 'hurricane', 'Severe', 'Weather', 'Storms', 'Tropical Cyclone', 'Typhoon', 'storm', 'suge', 'landfall', 'damage', 'news', 'Hurricanes', '2005', 'Extreme', 'Wind', 'BNVN', 'StormChasingVideo.com']",0,Z4Qas35ESbA
145,Hurricane Rita Video - Texas - 9/24/2005 Port Arthur Texas - Part 5,1258,StormChasingVideo,3,8,0,"['Hurricane Rita', 'Port Arthur', 'TX', 'Texas', 'hurricane', 'Severe', 'Weather', 'Storms', 'Tropical Cyclone', 'Typhoon', 'storm', 'suge', 'landfall', 'damage', 'news', 'Hurricanes', '2005', 'Extreme', 'Wind', 'BNVN', 'StormChasingVideo.com']",0,xuFRmIW-RJk
146,WCF Florida Gulf Surf - Hurricane Rita 05',1239,westsidesurfco,0,1,0,"['florida', 'gulf', 'surf', 'surfing', 'mike', 'young', 'wcf', 'west', 'side', 'co']",0,HZM2gWkWcA8
147,8 hrs before hurricane rita made landfall,1232,bama2511,0,0,0,"['hurricane', 'rita', 'texas']",0,TxtVzXrZTa8
148,Hurricane Rita,1176,brupat,0,0,0,['Adventure'],0,U9zfSbnj5bI
149,"Hurricane Rita Radar Archive Video, 2005.",1165,StormChasingVideo,0,2,0,"['National Weather Service', 'Hurricane Rita', 'Radar Archive', 'Katrina New Orleans', 'Port Arthur', 'Texas', 'Louisiana', 'Severe', 'Weather', 'Storms', 'Tropical', 'Cyclone', 'Typhoon', 'suge', 'landfall', 'damage', 'news', 'Florida', 'Hurricanes', '2005', 'Extreme', 'Wind', 'BNVN', 'StormChasingVideo.com']",0,tm_VCt8ptc8
150,Hurricane Rita (2005),1152,cookie1749,5,11,0,"['Rita', 'lifecycle']",0,xiqg3hB_TP0
151,Dan was first displaced after Hurricane Rita. Losing his house caused relationship problems.,1138,Invisible People,5,15,0,"['mark horvath', 'invisible people', 'invisibepeople tv', 'homeless', 'homelessness', 'sxsw', 'austin', 'texas', 'sxswi', 'Dan was first displaced after Hurricane Rita. Losing his house caused relationship problems.', 'invisible people tv', 'homeless cart', 'mobile loaves and fishes', 'homeless selling water', 'ice cream push cart', 'invisiblepeople', 'invisiblepeopletv', 'making homeless people happy', 'sxsw street treats', 'street people selling things', 'living in a tent', 'homeless people', 'invisible people homeless']",0,7a5bVxTqWYE
